time,zeroDetector.i,zeroDetector.z,simpleMath.x,simpleMath.y,simpleMath.der(x)
0.0,1.0,1.0,1.0,0.8414709848078965,1.0
0.1,1.0,1.0,1.1,0.8912073600614354,1.0
0.2,1.0,1.0,1.2000000000000002,0.9320390859672264,1.0
0.30000000000000004,1.0,1.0,1.3000000000000003,0.9635581854171931,1.0
0.4,1.0,1.0,1.4000000000000004,0.9854497299884603,1.0
0.5,1.0,1.0,1.5000000000000004,0.9974949866040544,1.0
0.6,1.0,1.0,1.6000000000000005,0.9995736030415051,1.0
0.7,1.0,1.0,1.7000000000000006,0.9916648104524686,1.0
0.7999999999999999,1.0,1.0,1.8000000000000007,0.973847630878195,1.0
0.8999999999999999,1.0,1.0,1.9000000000000008,0.9463000876874142,1.0
0.9999999999999999,1.0,1.0,2.000000000000001,0.9092974268256814,1.0
1.0999999999999999,1.0,1.0,2.100000000000001,0.8632093666488733,1.0
1.2,1.0,1.0,2.200000000000001,0.8084964038195895,1.0
1.3,1.0,1.0,2.300000000000001,0.7457052121767194,1.0
1.4000000000000001,1.0,1.0,2.4000000000000012,0.67546318055115,1.0
1.5000000000000002,1.0,1.0,2.5000000000000013,0.5984721441039554,1.0
1.6000000000000003,1.0,1.0,2.6000000000000014,0.515501371821463,1.0
1.7000000000000004,1.0,1.0,2.7000000000000015,0.42737988023382856,1.0
1.8000000000000005,1.0,1.0,2.8000000000000016,0.3349881501559034,1.0
1.9000000000000006,1.0,1.0,2.9000000000000017,0.23924932921398068,1.0
2.0000000000000004,1.0,1.0,3.0000000000000018,0.14112000805986546,1.0
2.1000000000000005,1.0,1.0,3.100000000000002,0.041580662433288715,1.0
2.2000000000000006,1.0,1.0,3.200000000000002,-0.05837414342758186,1.0
2.3000000000000007,1.0,1.0,3.300000000000002,-0.1577456941432504,1.0
2.400000000000001,1.0,1.0,3.400000000000002,-0.2555411020268334,1.0
2.500000000000001,1.0,1.0,3.500000000000002,-0.35078322768962195,1.0
2.600000000000001,1.0,1.0,3.6000000000000023,-0.44252044329485446,1.0
2.700000000000001,1.0,1.0,3.7000000000000024,-0.5298361409084953,1.0
2.800000000000001,1.0,1.0,3.8000000000000025,-0.611857890942721,1.0
2.9000000000000012,1.0,1.0,3.9000000000000026,-0.6877661591839757,1.0
3.0000000000000013,1.0,1.0,4.000000000000003,-0.75680249530793,1.0
3.1000000000000014,1.0,1.0,4.100000000000003,-0.8182771110644124,1.0
3.2000000000000015,1.0,1.0,4.200000000000003,-0.8715757724135894,1.0
3.3000000000000016,1.0,1.0,4.3000000000000025,-0.916165936749456,1.0
3.4000000000000017,1.0,1.0,4.400000000000002,-0.9516020738895166,1.0
3.5000000000000018,1.0,1.0,4.500000000000002,-0.9775301176650975,1.0
3.600000000000002,1.0,1.0,4.600000000000001,-0.9936910036334646,1.0
3.700000000000002,1.0,1.0,4.700000000000001,-0.9999232575641009,1.0
3.800000000000002,1.0,1.0,4.800000000000001,-0.9961646088358406,1.0
3.900000000000002,1.0,1.0,4.9,-0.9824526126243325,1.0
4.000000000000002,1.0,1.0,5.0,-0.9589242746631385,1.0
4.100000000000001,1.0,1.0,5.1,-0.9258146823277325,1.0
4.200000000000001,1.0,1.0,5.199999999999999,-0.8834546557201536,1.0
4.300000000000001,1.0,1.0,5.299999999999999,-0.8322674422239018,1.0
4.4,1.0,1.0,5.399999999999999,-0.7727644875559883,1.0
4.5,1.0,1.0,5.499999999999998,-0.7055403255703931,1.0
4.6,1.0,1.0,5.599999999999998,-0.631266637872323,1.0
4.699999999999999,1.0,1.0,5.6999999999999975,-0.5506855425976398,1.0
4.799999999999999,1.0,1.0,5.799999999999997,-0.46460217941375975,1.0
4.899999999999999,1.0,1.0,5.899999999999997,-0.37387666483023935,1.0
4.999999999999998,1.0,1.0,5.9999999999999964,-0.2794154981989293,1.0
5.099999999999998,1.0,1.0,6.099999999999996,-0.18216250427209937,1.0
5.1999999999999975,1.0,1.0,6.199999999999996,-0.08308940281750082,1.0
5.299999999999997,1.0,1.0,6.299999999999995,0.016813900484345272,1.0
5.399999999999997,1.0,1.0,6.399999999999995,0.11654920485048835,1.0
5.4999999999999964,1.0,1.0,6.499999999999995,0.21511998808781033,1.0
5.599999999999996,1.0,1.0,6.599999999999994,0.31154136351337275,1.0
5.699999999999996,1.0,1.0,6.699999999999994,0.40484992061659264,1.0
5.799999999999995,1.0,1.0,6.799999999999994,0.4941133511386028,1.0
5.899999999999995,1.0,1.0,6.899999999999993,0.5784397643881943,1.0
5.999999999999995,1.0,1.0,6.999999999999993,0.6569865987187837,1.0
6.099999999999994,1.0,1.0,7.0999999999999925,0.728969040125871,1.0
6.199999999999994,1.0,1.0,7.199999999999992,0.7936678638491483,1.0
6.299999999999994,1.0,1.0,7.299999999999992,0.8504366206285602,1.0
6.399999999999993,1.0,1.0,7.3999999999999915,0.898708095811623,1.0
6.499999999999993,1.0,1.0,7.499999999999991,0.9379999767747358,1.0
6.5999999999999925,1.0,1.0,7.599999999999991,0.9679196720314841,1.0
6.699999999999992,1.0,1.0,7.69999999999999,0.9881682338769989,1.0
6.799999999999992,1.0,1.0,7.79999999999999,0.9985433453746044,1.0
6.8999999999999915,1.0,1.0,7.89999999999999,0.9989413418397725,1.0
6.999999999999991,1.0,1.0,7.999999999999989,0.9893582466233833,1.0
7.099999999999991,1.0,1.0,8.099999999999989,0.969889810845089,1.0
7.19999999999999,1.0,1.0,8.199999999999989,0.9407305566797768,1.0
7.29999999999999,1.0,1.0,8.299999999999988,0.9021718337562987,1.0
