time,h,der(h),v,der(v),g,e
0.00000,1.000000000000000,0.000000000000000,0.000000000000000,-9.810000000000000,9.810000000000000,0.7000000000000000
0.0100000,0.9995585500000000,-0.09810000000000000,-0.09810000000000000,-9.810000000000000,9.810000000000000,0.7000000000000000
0.0200000,0.9981361000000002,-0.1962000000000001,-0.1962000000000001,-9.810000000000000,9.810000000000000,0.7000000000000000
0.0300000,0.9957326500000004,-0.2943000000000001,-0.2943000000000001,-9.810000000000000,9.810000000000000,0.7000000000000000
0.0400000,0.9923482000000008,-0.3924000000000000,-0.3924000000000000,-9.810000000000000,9.810000000000000,0.7000000000000000
0.0500000,0.9879827500000012,-0.4904999999999998,-0.4904999999999998,-9.810000000000000,9.810000000000000,0.7000000000000000
0.0600000,0.9826363000000014,-0.5885999999999997,-0.5885999999999997,-9.810000000000000,9.810000000000000,0.7000000000000000
0.0700000,0.9763088500000009,-0.6866999999999995,-0.6866999999999995,-9.810000000000000,9.810000000000000,0.7000000000000000
0.0800000,0.9690004000000005,-0.7847999999999994,-0.7847999999999994,-9.810000000000000,9.810000000000000,0.7000000000000000
0.0900000,0.9607109500000003,-0.8828999999999992,-0.8828999999999992,-9.810000000000000,9.810000000000000,0.7000000000000000
0.100000,0.9514405000000001,-0.9809999999999991,-0.9809999999999991,-9.810000000000000,9.810000000000000,0.7000000000000000
0.110000,0.9411890500000001,-1.079100000000000,-1.079100000000000,-9.810000000000000,9.810000000000000,0.7000000000000000
0.120000,0.9299566000000001,-1.177200000000001,-1.177200000000001,-9.810000000000000,9.810000000000000,0.7000000000000000
0.130000,0.9177431500000003,-1.275300000000002,-1.275300000000002,-9.810000000000000,9.810000000000000,0.7000000000000000
0.140000,0.9045487000000005,-1.373400000000003,-1.373400000000003,-9.810000000000000,9.810000000000000,0.7000000000000000
0.150000,0.8903732500000009,-1.471500000000004,-1.471500000000004,-9.810000000000000,9.810000000000000,0.7000000000000000
0.160000,0.8752168000000013,-1.569600000000005,-1.569600000000005,-9.810000000000000,9.810000000000000,0.7000000000000000
0.170000,0.8590793500000008,-1.667700000000006,-1.667700000000006,-9.810000000000000,9.810000000000000,0.7000000000000000
0.180000,0.8419609000000003,-1.765800000000007,-1.765800000000007,-9.810000000000000,9.810000000000000,0.7000000000000000
0.190000,0.8238614500000000,-1.863900000000008,-1.863900000000008,-9.810000000000000,9.810000000000000,0.7000000000000000
0.200000,0.8047809999999997,-1.962000000000009,-1.962000000000009,-9.810000000000000,9.810000000000000,0.7000000000000000
0.210000,0.7847195499999996,-2.060100000000008,-2.060100000000008,-9.810000000000000,9.810000000000000,0.7000000000000000
0.220000,0.7636770999999996,-2.158200000000007,-2.158200000000007,-9.810000000000000,9.810000000000000,0.7000000000000000
0.230000,0.7416536499999996,-2.256300000000006,-2.256300000000006,-9.810000000000000,9.810000000000000,0.7000000000000000
0.240000,0.7186491999999998,-2.354400000000005,-2.354400000000005,-9.810000000000000,9.810000000000000,0.7000000000000000
0.250000,0.6946637500000000,-2.452500000000003,-2.452500000000003,-9.810000000000000,9.810000000000000,0.7000000000000000
0.260000,0.6696973000000004,-2.550600000000002,-2.550600000000002,-9.810000000000000,9.810000000000000,0.7000000000000000
0.270000,0.6437498500000008,-2.648700000000001,-2.648700000000001,-9.810000000000000,9.810000000000000,0.7000000000000000
0.280000,0.6168214000000007,-2.746800000000000,-2.746800000000000,-9.810000000000000,9.810000000000000,0.7000000000000000
0.290000,0.5889119500000003,-2.844899999999998,-2.844899999999998,-9.810000000000000,9.810000000000000,0.7000000000000000
0.300000,0.5600215000000000,-2.942999999999997,-2.942999999999997,-9.810000000000000,9.810000000000000,0.7000000000000000
0.310000,0.5301500499999997,-3.041099999999996,-3.041099999999996,-9.810000000000000,9.810000000000000,0.7000000000000000
0.320000,0.4992975999999996,-3.139199999999994,-3.139199999999994,-9.810000000000000,9.810000000000000,0.7000000000000000
0.330000,0.4674641499999995,-3.237299999999993,-3.237299999999993,-9.810000000000000,9.810000000000000,0.7000000000000000
0.340000,0.4346496999999996,-3.335399999999992,-3.335399999999992,-9.810000000000000,9.810000000000000,0.7000000000000000
0.350000,0.4008542499999998,-3.433499999999991,-3.433499999999991,-9.810000000000000,9.810000000000000,0.7000000000000000
0.360000,0.3660778000000000,-3.531599999999989,-3.531599999999989,-9.810000000000000,9.810000000000000,0.7000000000000000
0.370000,0.3303203500000003,-3.629699999999988,-3.629699999999988,-9.810000000000000,9.810000000000000,0.7000000000000000
0.380000,0.2935819000000002,-3.727799999999987,-3.727799999999987,-9.810000000000000,9.810000000000000,0.7000000000000000
0.390000,0.2558624500000002,-3.825899999999986,-3.825899999999986,-9.810000000000000,9.810000000000000,0.7000000000000000
0.400000,0.2171620000000003,-3.923999999999984,-3.923999999999984,-9.810000000000000,9.810000000000000,0.7000000000000000
0.410000,0.1774805500000005,-4.022099999999983,-4.022099999999983,-9.810000000000000,9.810000000000000,0.7000000000000000
0.420000,0.1368181000000007,-4.120199999999982,-4.120199999999982,-9.810000000000000,9.810000000000000,0.7000000000000000
0.430000,0.09517465000000083,-4.218299999999981,-4.218299999999981,-9.810000000000000,9.810000000000000,0.7000000000000000
0.440000,0.05255020000000105,-4.316399999999979,-4.316399999999979,-9.810000000000000,9.810000000000000,0.7000000000000000
0.450000,0.008944750000001257,-4.414499999999978,-4.414499999999978,-9.810000000000000,9.810000000000000,0.7000000000000000
0.460000,0.01724106700000121,3.042080999999985,3.042080999999985,-9.810000000000000,9.810000000000000,0.7000000000000000
